ball,name,vendor_type,electrical_type,unit,unit_title,group,supply,source_row,correction,mux
AH17,SDQ28,I/O,bidirectional,A,DRAM data,SDRAM,VCC-DRAM/VCC-DRAML,59,,
AH18,SDQ21,I/O,bidirectional,A,DRAM data,SDRAM,VCC-DRAM/VCC-DRAML,52,,
AH19,SDQS2P,I/O,bidirectional,A,DRAM data,SDRAM,VCC-DRAM/VCC-DRAML,71,,
AH20,SDQM2,I/O,bidirectional,A,DRAM data,SDRAM,VCC-DRAM/VCC-DRAML,65,,
AH21,SDQ16,I/O,bidirectional,A,DRAM data,SDRAM,VCC-DRAM/VCC-DRAML,47,,
AH22,GND,G,power_in,M,Digital ground 2,Ground,N/A,506,,
AH23,SBG1,O,output,B,DRAM address / control / power,SDRAM,VCC-DRAM/VCC-DRAML,25,,
AH24,SA14,O,output,B,DRAM address / control / power,SDRAM,VCC-DRAM/VCC-DRAML,17,,
AH25,GND,G,power_in,M,Digital ground 2,Ground,N/A,507,,
AH26,SCKP,O,output,B,DRAM address / control / power,SDRAM,VCC-DRAM/VCC-DRAML,27,,
AH27,SCKE0,O,output,B,DRAM address / control / power,SDRAM,VCC-DRAM/VCC-DRAML,26,,
AH28,SCS1,O,output,B,DRAM address / control / power,SDRAM,VCC-DRAM/VCC-DRAML,30,,
AH29,SA7,O,output,B,DRAM address / control / power,SDRAM,VCC-DRAM/VCC-DRAML,10,,
AJ1,GND,G,power_in,M,Digital ground 2,Ground,N/A,508,,
AJ2,HPOUTR,AO,output,J,Audio / ADC,Audio Codec,CPVIN,154,,
AJ3,PM1,I/O,bidirectional,G,GPIO K / L / M,Port M,VCC-PM,353,,2:S-UART0-RX; 3:S-UART1-RX; 4:MCU-PWM0-1; 14:PM-EINT1
AJ4,PM0,I/O,bidirectional,G,GPIO K / L / M,Port M,VCC-PM,352,,2:S-UART0-TX; 3:S-UART1-TX; 4:MCU-PWM0-0; 14:PM-EINT0
AJ5,PM4,I/O,bidirectional,G,GPIO K / L / M,Port M,VCC-PM,356,,2:MCU-PWM0-6; 3:S-RJTAG-DO; 4:S-TWI2-SCK; 14:PM-EINT4
AJ6,GND,G,power_in,M,Digital ground 2,Ground,N/A,509,,
AJ7,PL0,I/O,bidirectional,G,GPIO K / L / M,Port L,VCC-PL,336,,2:S-TWI0-SCK; 14:PL-EINT0
AJ8,PL2,I/O,bidirectional,G,GPIO K / L / M,Port L,VCC-PL,338,,2:S-UART0-TX; 3:S-UART1-TX; 4:MCU-PWM0-0; 14:PL-EINT2
AJ9,PL5,I/O,bidirectional,G,GPIO K / L / M,Port L,VCC-PL,341,,2:S-JTAG-CK; 4:MCU-PWM0-3; 5:S-I2S0-LRCK; 6:S-DMIC-DATA3; 14:PL-EINT5
AJ11,GND,G,power_in,M,Digital ground 2,Ground,N/A,510,,
AJ13,DXOUT,AO,output,C,System / clocks / boot,DCXO,VCC-DCXO,97,,
AJ15,SDQS3N,I/O,bidirectional,A,DRAM data,SDRAM,VCC-DRAM/VCC-DRAML,74,,
AJ16,SDQM3,I/O,bidirectional,A,DRAM data,SDRAM,VCC-DRAM/VCC-DRAML,66,,
AJ17,SDQ22,I/O,bidirectional,A,DRAM data,SDRAM,VCC-DRAM/VCC-DRAML,53,,
AJ18,GND,G,power_in,M,Digital ground 2,Ground,N/A,511,,
AJ19,SDQS2N,I/O,bidirectional,A,DRAM data,SDRAM,VCC-DRAM/VCC-DRAML,72,,
AJ20,GND,G,power_in,M,Digital ground 2,Ground,N/A,512,,
AJ21,SDQ17,I/O,bidirectional,A,DRAM data,SDRAM,VCC-DRAM/VCC-DRAML,48,,
AJ22,SBG0,O,output,B,DRAM address / control / power,SDRAM,VCC-DRAM/VCC-DRAML,24,,
AJ23,SA6,O,output,B,DRAM address / control / power,SDRAM,VCC-DRAM/VCC-DRAML,9,,
AJ24,GND,G,power_in,M,Digital ground 2,Ground,N/A,513,,
AJ25,SA15,O,output,B,DRAM address / control / power,SDRAM,VCC-DRAM/VCC-DRAML,18,,
AJ26,SCKN,O,output,B,DRAM address / control / power,SDRAM,VCC-DRAM/VCC-DRAML,28,,
AJ27,GND,G,power_in,M,Digital ground 2,Ground,N/A,514,,
AJ28,SCS0,O,output,B,DRAM address / control / power,SDRAM,VCC-DRAM/VCC-DRAML,29,,
AJ29,GND,G,power_in,M,Digital ground 2,Ground,N/A,515,,
