ball,name,vendor_type,electrical_type,unit,unit_title,group,supply,source_row,correction,mux
R25,PC7,I/O,bidirectional,D,GPIO B / C / F,Port C,VCC-PC,206,,2:NAND-RB1; 4:SPI0-CS1; 5:SPIF-DQS; 14:PC-EINT7
R26,GND,G,power_in,L,Digital ground 1,Ground,N/A,451,,
R27,PC9,I/O,bidirectional,D,GPIO B / C / F,Port C,VCC-PC,208,,2:NAND-DQ6; 3:SDC2-D4; 5:SPIF-D6; 14:PC-EINT9
R28,PC8,I/O,bidirectional,D,GPIO B / C / F,Port C,VCC-PC,207,,2:NAND-DQ7; 3:SDC2-D3; 5:SPIF-D7; 14:PC-EINT8
R29,PC6,I/O,bidirectional,D,GPIO B / C / F,Port C,VCC-PC,205,,2:NAND-RB0; 3:SDC2-CMD; 14:PC-EINT6
T2,PG5,I/O,bidirectional,F,GPIO G / H,Port G,VCC-PG,276,,2:SDC1-D3; 14:PG-EINT5
T3,PG4,I/O,bidirectional,F,GPIO G / H,Port G,VCC-PG,275,,2:SDC1-D2; 3:PCIE0-CLKREQN; 14:PG-EINT4
T9,GND,G,power_in,L,Digital ground 1,Ground,N/A,452,,
T10,GND,G,power_in,L,Digital ground 1,Ground,N/A,453,,
T12,GND,G,power_in,M,Digital ground 2,Ground,N/A,454,,
T13,GND,G,power_in,M,Digital ground 2,Ground,N/A,455,,
T16,VDD-CPUL,P,power_in,K,Core power / sense,Power,N/A,364,,
T18,VDD-CPUL,P,power_in,K,Core power / sense,Power,N/A,364,,
T19,GND,G,power_in,M,Digital ground 2,Ground,N/A,456,,
T20,VCC-DRAM,P,power_in,B,DRAM address / control / power,SDRAM,N/A,79,,
T21,VCC-DRAM,P,power_in,B,DRAM address / control / power,SDRAM,N/A,79,,
T22,VCC-DRAM,P,power_in,B,DRAM address / control / power,SDRAM,N/A,79,,
T27,PC1,I/O,bidirectional,D,GPIO B / C / F,Port C,VCC-PC,200,,2:NAND-ALE; 3:SDC2-RST; 14:PC-EINT1
T28,PC5,I/O,bidirectional,D,GPIO B / C / F,Port C,VCC-PC,204,,2:NAND-RE; 3:SDC2-CLK; 14:PC-EINT5
U1,PG10,I/O,bidirectional,F,GPIO G / H,Port G,VCC-PG,281,,3:I2S1-MCLK; 14:PG-EINT10
U2,PG11,I/O,bidirectional,F,GPIO G / H,Port G,VCC-PG,282,,3:I2S1-BCLK; 14:PG-EINT11
U3,PG7,I/O,bidirectional,F,GPIO G / H,Port G,VCC-PG,278,,2:UART1-RX; 14:PG-EINT7
U4,PG9,I/O,bidirectional,F,GPIO G / H,Port G,VCC-PG,280,,2:UART1-CTS; 14:PG-EINT9
U5,PG14,I/O,bidirectional,F,GPIO G / H,Port G,VCC-PG,285,,3:I2S1-DIN0; 4:I2S1-DOUT1; 14:PG-EINT14
U6,VCM-ADC,A I/O,bidirectional,J,Audio / ADC,GPADC,AVCC,176,,
U7,VREFN-ADC,P,power_in,J,Audio / ADC,GPADC,N/A,177,,
U9,VDD-DNR,P,power_in,K,Core power / sense,Power,N/A,369,,
U10,VDD-DNR,P,power_in,K,Core power / sense,Power,N/A,369,,
U12,GND,G,power_in,M,Digital ground 2,Ground,N/A,457,,
U15,GND,G,power_in,M,Digital ground 2,Ground,N/A,458,,
U16,VDD-CPUL,P,power_in,K,Core power / sense,Power,N/A,364,,
U18,VDD-CPUL,P,power_in,K,Core power / sense,Power,N/A,364,,
U19,GND,G,power_in,M,Digital ground 2,Ground,N/A,459,,
U20,GND,G,power_in,M,Digital ground 2,Ground,N/A,460,,
U21,VCC-DRAM,P,power_in,B,DRAM address / control / power,SDRAM,N/A,79,,
U23,SDQ15,I/O,bidirectional,A,DRAM data,SDRAM,VCC-DRAM/VCC-DRAML,46,,
U24,SDQ14,I/O,bidirectional,A,DRAM data,SDRAM,VCC-DRAM/VCC-DRAML,45,,
U25,SZQ,AI,input,B,DRAM address / control / power,SDRAM,VCC-DRAM/VCC-DRAML,78,,
U26,GND,G,power_in,M,Digital ground 2,Ground,N/A,461,,
U27,SDQ13,I/O,bidirectional,A,DRAM data,SDRAM,VCC-DRAM/VCC-DRAML,44,,
U28,GND,G,power_in,M,Digital ground 2,Ground,N/A,462,,
U29,SDQ12,I/O,bidirectional,A,DRAM data,SDRAM,VCC-DRAM/VCC-DRAML,43,,
V2,PG12,I/O,bidirectional,F,GPIO G / H,Port G,VCC-PG,283,,3:I2S1-LRCK; 14:PG-EINT12
V3,PG13,I/O,bidirectional,F,GPIO G / H,Port G,VCC-PG,284,,3:I2S1-DOUT0; 4:I2S1-DIN1; 14:PG-EINT13
V9,VDD-DNR,P,power_in,K,Core power / sense,Power,N/A,369,,
V10,VDD-DNR,P,power_in,K,Core power / sense,Power,N/A,369,,
V12,GND,G,power_in,M,Digital ground 2,Ground,N/A,463,,
V13,GND,G,power_in,M,Digital ground 2,Ground,N/A,464,,
V15,GND,G,power_in,M,Digital ground 2,Ground,N/A,465,,
V16,VDD-CPULFB,P,passive,K,Core power / sense,Power,N/A,371,,
V18,GND,G,power_in,M,Digital ground 2,Ground,N/A,466,,
V19,GND,G,power_in,M,Digital ground 2,Ground,N/A,467,,
V21,VCC-DRAM,P,power_in,B,DRAM address / control / power,SDRAM,N/A,79,,
V28,SDQS1P,I/O,bidirectional,A,DRAM data,SDRAM,VCC-DRAM/VCC-DRAML,69,,
V29,SDQS1N,I/O,bidirectional,A,DRAM data,SDRAM,VCC-DRAM/VCC-DRAML,70,,
W1,GND,G,power_in,M,Digital ground 2,Ground,N/A,468,,
W2,GPADC0,AI,input,J,Audio / ADC,GPADC,AVCC,172,,
W3,GPADC1,AI,input,J,Audio / ADC,GPADC,AVCC,173,,
W4,GPADC2,AI,input,J,Audio / ADC,GPADC,AVCC,174,,
W5,GPADC3,AI,input,J,Audio / ADC,GPADC,AVCC,175,,
W6,VREFP-ADC,P,power_in,J,Audio / ADC,GPADC,N/A,178,,
W7,AVCC,P,power_in,J,Audio / ADC,Audio Codec,N/A,165,,
W8,GND,G,power_in,M,Digital ground 2,Ground,N/A,469,,
