Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D18,LED0603,LED_0603_1608Metric,110.25,-136.71,0.0,top
D180,LED0603,LED_0603_1608Metric,71.25,-147.51,0.0,top
D181,LED0603,LED_0603_1608Metric,68.25,-127.71,0.0,top
D182,LED0603,LED_0603_1608Metric,68.25,-129.51,0.0,top
D183,LED0603,LED_0603_1608Metric,68.25,-131.31,0.0,top
D184,LED0603,LED_0603_1608Metric,68.25,-133.11,0.0,top
D185,LED0603,LED_0603_1608Metric,68.25,-134.91,0.0,top
D186,LED0603,LED_0603_1608Metric,68.25,-136.71,0.0,top
D187,LED0603,LED_0603_1608Metric,68.25,-138.51,0.0,top
D188,LED0603,LED_0603_1608Metric,68.25,-140.31,0.0,top
D189,LED0603,LED_0603_1608Metric,68.25,-142.11,0.0,top
D19,LED0603,LED_0603_1608Metric,110.25,-138.51,0.0,top
D190,LED0603,LED_0603_1608Metric,68.25,-143.91,0.0,top
D191,LED0603,LED_0603_1608Metric,68.25,-145.71,0.0,top
D192,LED0603,LED_0603_1608Metric,68.25,-147.51,0.0,top
D193,LED0603,LED_0603_1608Metric,65.25,-127.71,0.0,top
D194,LED0603,LED_0603_1608Metric,65.25,-129.51,0.0,top
D195,LED0603,LED_0603_1608Metric,65.25,-131.31,0.0,top
D196,LED0603,LED_0603_1608Metric,65.25,-133.11,0.0,top
D197,LED0603,LED_0603_1608Metric,65.25,-134.91,0.0,top
D198,LED0603,LED_0603_1608Metric,65.25,-136.71,0.0,top
D199,LED0603,LED_0603_1608Metric,65.25,-138.51,0.0,top
D2,LED0603,LED_0603_1608Metric,113.25,-129.51,0.0,top
D20,LED0603,LED_0603_1608Metric,110.25,-140.31,0.0,top
D200,LED0603,LED_0603_1608Metric,65.25,-140.31,0.0,top
D201,LED0603,LED_0603_1608Metric,65.25,-142.11,0.0,top
D202,LED0603,LED_0603_1608Metric,65.25,-143.91,0.0,top
D203,LED0603,LED_0603_1608Metric,65.25,-145.71,0.0,top
D204,LED0603,LED_0603_1608Metric,65.25,-147.51,0.0,top
D205,LED0603,LED_0603_1608Metric,62.25,-127.71,0.0,top
D206,LED0603,LED_0603_1608Metric,62.25,-129.51,0.0,top
D207,LED0603,LED_0603_1608Metric,62.25,-131.31,0.0,top
D208,LED0603,LED_0603_1608Metric,62.25,-133.11,0.0,top
D209,LED0603,LED_0603_1608Metric,62.25,-134.91,0.0,top
D21,LED0603,LED_0603_1608Metric,110.25,-142.11,0.0,top
D210,LED0603,LED_0603_1608Metric,62.25,-136.71,0.0,top
D211,LED0603,LED_0603_1608Metric,62.25,-138.51,0.0,top
D212,LED0603,LED_0603_1608Metric,62.25,-140.31,0.0,top
D213,LED0603,LED_0603_1608Metric,62.25,-142.11,0.0,top
