Comment,Designator,Footprint,LCSC,Quantity
1k,"RN1,RN2,RN3",R_Array_Concave_4x0603,C111803,3
100nF,"C2,C3",C_0805_2012Metric,C1711,2
10uF,C1,C_0805_2012Metric,C1713,1
LED0603,"D1,D10,D100,D101,D102,D103,D104,D105,D106,D107,D108,D109,D11,D110,D111,D112,D113,D114,D115,D116,D117,D118,D119,D12,D120,D121,D122,D123,D124,D125,D126,D127,D128,D129,D13,D130,D131,D132,D133,D134,D135,D136,D137,D138,D139,D14,D140,D141,D142,D143,D144,D145,D146,D147,D148,D149,D15,D150,D151,D152,D153,D154,D155,D156,D157,D158,D159,D16,D160,D161,D162,D163,D164,D165,D166,D167,D168,D169,D17,D170,D171,D172,D173,D174,D175,D176,D177,D178,D179,D18,D180,D181,D182,D183,D184,D185,D186,D187,D188,D189,D19,D190,D191,D192,D193,D194,D195,D196,D197,D198,D199,D2,D20,D200,D201,D202,D203,D204,D205,D206,D207,D208,D209,D21,D210,D211,D212,D213,D214,D215,D216,D217,D218,D219,D22,D220,D221,D222,D223,D224,D225,D226,D227,D228,D229,D23,D230,D231,D232,D233,D234,D235,D236,D237,D238,D239,D24,D240,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D49,D5,D50,D51,D52,D53,D54,D55,D56,D57,D58,D59,D6,D60,D61,D62,D63,D64,D65,D66,D67,D68,D69,D7,D70,D71,D72,D73,D74,D75,D76,D77,D78,D79,D8,D80,D81,D82,D83,D84,D85,D86,D87,D88,D89,D9,D90,D91,D92,D93,D94,D95,D96,D97,D98,D99",LED_0603_1608Metric,C19273151,240
WS2812B,"D241,D242,D243,D244",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,C22464516,4
Conn_01x08_Pin,J2,PinHeader_1x08_P2.54mm_Horizontal,C492416,1
Conn_01x10_Pin,J1,PinHeader_1x10_P2.54mm_Horizontal,C492418,1
PCA9698DGG,IC1,SOP50P810X120-56N,C729177,1
